country,country_code_x,region,income_level,capital_city,latitude,longitude,country_code_y,inflation_year,inflation_annual_pct,cost_living_index,rent_index,groceries_index,restaurants_index,purchasing_power_index,bread_price_usd,transport_oneway_usd,transport_monthly_pass_usd,rent_monthly_usd,utilities_monthly_usd
Benin,,Sub-Saharan Africa ,Lower middle income,Porto-Novo,6.4779,2.6323,BEN,2024.0,1.16093089640415,,,,,,,,,,
Burkina Faso,,Sub-Saharan Africa ,Low income,Ouagadougou,12.3605,-1.53395,BFA,2024.0,4.19081721344523,,,,,,,,,,
Bangladesh,,South Asia,Lower middle income,Dhaka,23.7055,90.4113,BGD,2024.0,10.4657482763412,39.5,8.8,38.1,38.2,50.8,0.95,1.18,14.5,100.0,25.0
Bulgaria,,Europe & Central Asia,High income,Sofia,42.7105,23.3238,BGR,2024.0,2.44651943006079,,,,,,,,,,
Bahrain,,"Middle East, North Africa, Afghanistan & Pakistan",High income,Manama,26.1921,50.5354,BHR,2024.0,0.919635459817651,65.2,26.1,61.8,63.5,86.2,,,,600.0,
"Bahamas, The",,Latin America & Caribbean ,High income,Nassau,25.0661,-77.339,BHS,2024.0,0.409162489083286,,,,,,,,,,
Bosnia and Herzegovina,,Europe & Central Asia,Upper middle income,Sarajevo,43.8607,18.4214,BIH,2023.0,6.1059011284828,,,,,,,,,,
Belarus,,Europe & Central Asia,Upper middle income,Minsk,53.9678,27.5766,BLR,2024.0,5.78531910428005,,,,,,,,,,
Belize,,Latin America & Caribbean ,Upper middle income,Belmopan,17.2534,-88.7713,BLZ,2024.0,3.28955985952768,,,,,,,,,,
Bermuda,,North America,High income,Hamilton,32.3293,-64.706,,,,,,,,,8.61,,,,
Bolivia,,Latin America & Caribbean ,Lower middle income,La Paz,-13.9908,-66.1936,BOL,2024.0,5.09976568317427,,,,,,,,,,
Brazil,,Latin America & Caribbean ,Upper middle income,Brasilia,-15.7801,-47.9292,BRA,2024.0,4.36746407652337,51.4,15.9,49.2,50.1,67.5,1.85,2.85,52.4,270.0,70.0
Barbados,,Latin America & Caribbean ,High income,Bridgetown,13.0935,-59.6105,BRB,2024.0,1.4464366430616,75.2,41.8,70.8,73.2,88.5,,,,1200.0,
Brunei Darussalam,,East Asia & Pacific,High income,Bandar Seri Begawan,4.94199,114.946,BRN,2024.0,-0.388674165036461,,,,,,,,,,
Bhutan,,South Asia,Lower middle income,Thimphu,27.5768,89.6177,BTN,2024.0,2.76131569624098,,,,,,,,,,
Botswana,,Sub-Saharan Africa ,Upper middle income,Gaborone,-24.6544,25.9201,BWA,2024.0,2.81835131676251,,,,,,,,,,
Central African Republic,,Sub-Saharan Africa ,Low income,Bangui,5.63056,21.6407,CAF,2024.0,1.47733600718744,,,,,,,,,,
Canada,,North America,High income,Ottawa,45.4215,-75.6919,CAN,2024.0,2.38158383281173,65.4,28.4,61.5,64.2,92.1,3.18,,,1200.0,145.0
Switzerland,,Europe & Central Asia,High income,Bern,46.948,7.44821,CHE,2024.0,1.06234041976595,82.3,50.1,75.2,88.4,120.5,3.81,6.36,149.7,1850.0,220.0
Channel Islands,,Europe & Central Asia,High income,,,,,,,,,,,,,,,,
Chile,,Latin America & Caribbean ,High income,Santiago,-33.475,-70.6475,CHL,2024.0,4.29763891572524,,,,,,,,,,
China,,East Asia & Pacific,Upper middle income,Beijing,40.0495,116.286,CHN,2024.0,0.218128938439177,49.8,14.8,47.8,48.5,64.2,1.65,2.45,42.8,540.0,80.0
Cote d'Ivoire,,Sub-Saharan Africa ,Lower middle income,Yamoussoukro,5.332,-4.0305,CIV,2024.0,3.45053028131019,,,,,,,,,,
Cameroon,,Sub-Saharan Africa ,Lower middle income,Yaounde,3.8721,11.5174,CMR,2024.0,4.53331349711606,,,,,,,,,,
"Congo, Dem. Rep.",,Sub-Saharan Africa ,Low income,Kinshasa,-4.325,15.3222,,,,,,,,,,,,,
"Congo, Rep.",,Sub-Saharan Africa ,Lower middle income,Brazzaville,-4.2767,15.2662,COG,2024.0,3.09143630919166,,,,,,,,,,
Colombia,,Latin America & Caribbean ,Upper middle income,Bogota,4.60987,-74.082,COL,2024.0,6.60908593728228,,,,,,,,,,
Comoros,,Sub-Saharan Africa ,Lower middle income,Moroni,-11.6986,43.2418,COM,2024.0,5.05192609588218,,,,,,,,,,
Cabo Verde,,Sub-Saharan Africa ,Upper middle income,Praia,14.9218,-23.5087,CPV,2024.0,1.04817001091965,,,,,,,,,,
Costa Rica,,Latin America & Caribbean ,High income,San Jose,9.63701,-84.0089,CRI,2024.0,-0.412853001047069,,,,,,,,,,
Cuba,,Latin America & Caribbean ,Upper middle income,Havana,23.1333,-82.3667,,,,,,,,,,,,,
Curacao,,Latin America & Caribbean ,High income,Willemstad,,,,,,,,,,,,,,,
Cayman Islands,,Latin America & Caribbean ,High income,George Town,19.3022,-81.3857,,,,94.3,60.2,85.6,92.1,115.8,6.36,,,2500.0,
Cyprus,,Europe & Central Asia,High income,Nicosia,35.1676,33.3736,CYP,2024.0,1.80023018624824,,,,,,,,,,
Czechia,,Europe & Central Asia,High income,Prague,50.0878,14.4205,CZE,2024.0,2.43531202435314,,,,,,,,,,
Germany,,Europe & Central Asia,High income,Berlin,52.5235,13.4115,DEU,2024.0,2.2564981433876,64.1,26.5,59.7,62.8,91.3,2.72,4.85,112.3,850.0,170.0
Djibouti,,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,Djibouti,11.5806,43.1425,DJI,2024.0,2.1120116728497,,,,,,9.53,,,,
Dominica,,Latin America & Caribbean ,Upper middle income,Roseau,15.2976,-61.39,DMA,2024.0,2.73620751873313,,,,,,,,,,
Denmark,,Europe & Central Asia,High income,Copenhagen,55.6763,12.5681,DNK,2024.0,1.37220049768926,72.1,36.4,67.2,75.3,102.8,3.48,5.42,128.5,,
Dominican Republic,,Latin America & Caribbean ,Upper middle income,Santo Domingo,18.479,-69.8908,DOM,2024.0,3.30223338951227,,,,,,,,,,
Algeria,,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,Algiers,36.7397,3.05097,DZA,2024.0,4.04611455313434,,,,,,,,,,
Ecuador,,Latin America & Caribbean ,Upper middle income,Quito,-0.229498,-78.5243,ECU,2024.0,1.54732515615369,,,,,,,,,,
