country,country_code_x,region,income_level,capital_city,latitude,longitude,country_code_y,inflation_year,inflation_annual_pct,cost_living_index,rent_index,groceries_index,restaurants_index,purchasing_power_index,bread_price_usd,transport_oneway_usd,transport_monthly_pass_usd,rent_monthly_usd,utilities_monthly_usd
Kenya,,Sub-Saharan Africa ,Lower middle income,Nairobi,-1.27975,36.8126,KEN,2024.0,4.48978854243448,,,,,,,,,,
Kyrgyz Republic,,Europe & Central Asia,Lower middle income,Bishkek,42.8851,74.6057,KGZ,2024.0,4.99760701207323,,,,,,,,,,
Cambodia,,East Asia & Pacific,Lower middle income,Phnom Penh,11.5556,104.874,KHM,2024.0,0.808042016536654,50.2,14.5,48.2,48.5,65.2,,,,160.0,
Kiribati,,East Asia & Pacific,Lower middle income,Tarawa,1.32905,172.979,KIR,2024.0,2.45545072159028,,,,,,,,,,
St. Kitts and Nevis,,Latin America & Caribbean ,High income,Basseterre,17.3,-62.7309,KNA,2023.0,3.55711230848243,,,,,,,,,,
"Korea, Rep.",,East Asia & Pacific,High income,Seoul,37.5323,126.957,KOR,2024.0,2.32174328643542,,,,,,,,,,
Kuwait,,"Middle East, North Africa, Afghanistan & Pakistan",High income,Kuwait City,29.3721,47.9824,KWT,2024.0,2.89855072463762,67.5,27.8,63.8,65.2,88.2,,,,680.0,
Lao PDR,,East Asia & Pacific,Lower middle income,Vientiane,18.5826,102.177,LAO,2024.0,23.1305695942588,,,,,,,,,,
Lebanon,,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,Beirut,33.8872,35.5134,LBN,2024.0,45.2430422716718,,,,,,,,,,
Liberia,,Sub-Saharan Africa ,Low income,Monrovia,6.30039,-10.7957,LBR,2024.0,8.21497439118964,,,,,,,,,,
Libya,,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,Tripoli,32.8578,13.1072,LBY,2024.0,2.12615766885021,,,,,,,,,,
St. Lucia,,Latin America & Caribbean ,Upper middle income,Castries,14,-60.9832,LCA,2024.0,-0.674240853418779,,,,,,,,,,
Liechtenstein,,Europe & Central Asia,High income,Vaduz,47.1411,9.52148,,,,,,,,,,,,,
Sri Lanka,,South Asia,Upper middle income,Colombo,6.92148,79.8528,LKA,2024.0,-0.42936004906973,53.8,17.2,50.8,51.5,70.2,,0.27,9.93,200.0,
Lesotho,,Sub-Saharan Africa ,Lower middle income,Maseru,-29.5208,27.7167,LSO,2024.0,6.10544624245032,,,,,,,,,,
Lithuania,,Europe & Central Asia,High income,Vilnius,54.6896,25.2799,LTU,2024.0,0.715735835228723,,,,,,,,,,
Luxembourg,,Europe & Central Asia,High income,Luxembourg,49.61,6.1296,LUX,2024.0,2.05113269954859,,,,,,,,,,
Latvia,,Europe & Central Asia,High income,Riga,56.9465,24.1048,LVA,2024.0,1.26579885828729,,,,,,,,,,
"Macao SAR, China",,East Asia & Pacific,High income,,22.1667,113.55,MAC,2024.0,0.672498598854365,,,,,,,,,,
St. Martin (French part),,Latin America & Caribbean ,High income,Marigot,,,,,,,,,,,,,,,
Morocco,,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,Rabat,33.9905,-6.8704,MAR,2024.0,0.985256592004507,,,,,,,,,,
Monaco,,Europe & Central Asia,High income,Monaco,43.7325,7.41891,,,,,,,,,5.37,,,,
Moldova,,Europe & Central Asia,Upper middle income,Chisinau,47.0167,28.8497,MDA,2024.0,4.67773516007048,,,,,,,,,,
Madagascar,,Sub-Saharan Africa ,Low income,Antananarivo,-20.4667,45.7167,MDG,2024.0,7.61335784313723,,,,,,,,,,
Maldives,,South Asia,Upper middle income,Male,4.1742,73.5109,MDV,2024.0,1.41093527910134,,,,,,,,,,
Mexico,,Latin America & Caribbean ,Upper middle income,Mexico City,19.427,-99.1276,MEX,2024.0,4.72225588452932,52.8,16.8,50.1,51.2,69.8,1.98,3.05,58.2,350.0,55.0
Marshall Islands,,East Asia & Pacific,Upper middle income,Majuro,7.11046,171.135,,,,,,,,,,,,,
North Macedonia,,Europe & Central Asia,Upper middle income,Skopje,42.0024,21.4361,MKD,2024.0,3.48974086026954,,,,,,,,,,
Mali,,Sub-Saharan Africa ,Low income,Bamako,13.5667,-7.50034,MLI,2024.0,3.2063986409966,,,,,,,,,,
Malta,,"Middle East, North Africa, Afghanistan & Pakistan",High income,Valletta,35.9042,14.5189,MLT,2024.0,1.65079469283109,,,,,,,,,,
Myanmar,,East Asia & Pacific,Lower middle income,Naypyidaw,21.914,95.9562,,,,48.8,13.2,46.8,46.9,62.8,,,,140.0,
Montenegro,,Europe & Central Asia,Upper middle income,Podgorica,42.4602,19.2595,MNE,2024.0,3.33675009282281,,,,,,,,,,
Mongolia,,East Asia & Pacific,Upper middle income,Ulaanbaatar,47.9129,106.937,MNG,2024.0,6.1977990165842,47.5,12.5,45.5,45.8,60.5,,,,,
Northern Mariana Islands,,East Asia & Pacific,High income,Saipan,15.1935,145.765,,,,,,,,,,,,,
Mozambique,,Sub-Saharan Africa ,Low income,Maputo,-25.9664,32.5713,MOZ,2024.0,4.07856834812022,,,,,,,,,,
Mauritania,,Sub-Saharan Africa ,Lower middle income,Nouakchott,18.2367,-15.9824,MRT,2024.0,2.49164347481972,,,,,,,,,,
Mauritius,,Sub-Saharan Africa ,Upper middle income,Port Louis,-20.1605,57.4977,MUS,2024.0,3.6045220384796,,,,,,,,,,
Malawi,,Sub-Saharan Africa ,Low income,Lilongwe,-13.9899,33.7703,MWI,2024.0,32.1796504225025,,,,,,,,,,
Malaysia,,East Asia & Pacific,Upper middle income,Kuala Lumpur,3.12433,101.684,MYS,2024.0,1.834100204499,56.8,19.5,53.8,54.8,75.2,,,,380.0,
Namibia,,Sub-Saharan Africa ,Lower middle income,Windhoek,-22.5648,17.0931,NAM,2024.0,4.23903922877036,,,,,,,,,,
New Caledonia,,East Asia & Pacific,High income,Noum'ea,-22.2677,166.464,,,,,,,,,,,,,
Niger,,Sub-Saharan Africa ,Low income,Niamey,13.514,2.1073,NER,2024.0,9.07151997725013,,,,,,,,,,
Nigeria,,Sub-Saharan Africa ,Lower middle income,Abuja,9.05804,7.48906,NGA,2024.0,33.2416590552749,40.8,9.5,39.2,39.5,52.5,1.05,1.32,16.2,180.0,40.0
Nicaragua,,Latin America & Caribbean ,Lower middle income,Managua,12.1475,-86.2734,NIC,2024.0,4.62473841057141,,,,,,,0.21,9.02,,
Netherlands,,Europe & Central Asia,High income,Amsterdam,52.3738,4.89095,NLD,2024.0,3.34754304219953,,,,,,,5.67,139.68,,
Norway,,Europe & Central Asia,High income,Oslo,59.9138,10.7387,NOR,2024.0,3.14530134431081,73.8,38.9,69.8,78.5,105.3,3.52,6.54,145.2,,
Nepal,,South Asia,Lower middle income,Kathmandu,27.6939,85.3157,NPL,2024.0,4.6850965426577,51.5,15.8,49.2,49.8,67.8,,,,150.0,
Naoero,,East Asia & Pacific,High income,Yaren District,-0.5477,166.920867,,,,,,,,,,,,,
New Zealand,,East Asia & Pacific,High income,Wellington,-41.2865,174.776,NZL,2024.0,2.92279782301957,66.2,29.8,62.8,65.3,88.5,,,,,
Oman,,"Middle East, North Africa, Afghanistan & Pakistan",High income,Muscat,23.6105,58.5874,OMN,2024.0,0.593589236248469,64.8,25.2,61.2,62.8,85.6,,,,550.0,
Pakistan,,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,Islamabad,30.5167,72.8,PAK,2024.0,12.6325318530452,43.2,10.8,41.8,41.9,55.8,1.18,1.52,20.8,120.0,30.0
Panama,,Latin America & Caribbean ,High income,Panama City,8.99427,-79.5188,PAN,2024.0,0.69322555100446,,,,,,,,,,
Peru,,Latin America & Caribbean ,Upper middle income,Lima,-12.0931,-77.0465,PER,2024.0,2.00770739412712,,,,,,,,,,
Philippines,,East Asia & Pacific,Upper middle income,Manila,14.5515,121.035,PHL,2024.0,3.21260487006347,46.1,12.2,44.2,44.5,59.2,1.38,1.92,28.5,280.0,48.0
Palau,,East Asia & Pacific,High income,Koror,7.34194,134.479,PLW,2024.0,2.23172772921704,,,,,,,,,,
Papua New Guinea,,East Asia & Pacific,Lower middle income,Port Moresby,-9.47357,147.194,PNG,2024.0,0.602403921107917,,,,,,,,,,
Poland,,Europe & Central Asia,High income,Warsaw,52.26,21.02,POL,2024.0,3.79060897630197,55.8,18.6,52.4,53.8,74.2,2.25,3.45,72.5,450.0,85.0
Puerto Rico (US),,Latin America & Caribbean ,High income,San Juan,18.23,-66,,,,,,,,,,,,,
"Korea, Dem. People's Rep.",,East Asia & Pacific,Low income,Pyongyang,39.0319,125.754,,,,,,,,,,,,,
Portugal,,Europe & Central Asia,High income,Lisbon,38.7072,-9.13552,PRT,2024.0,2.41613187791876,58.2,20.5,54.7,56.2,78.9,2.45,3.85,85.4,420.0,80.0
Paraguay,,Latin America & Caribbean ,Upper middle income,Asuncion,-25.3005,-57.6362,PRY,2024.0,3.83540271728533,,,,,,,,,,
West Bank and Gaza,,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,,,,PSE,2024.0,53.6691458303782,,,,,,,,,,
French Polynesia,,East Asia & Pacific,High income,Papeete,-17.535,-149.57,,,,,,,,,,,,,
Qatar,,"Middle East, North Africa, Afghanistan & Pakistan",High income,Doha,25.2948,51.5082,QAT,2024.0,1.26734310292375,70.8,31.5,66.2,68.5,92.8,,,,900.0,
Romania,,Europe & Central Asia,High income,Bucharest,44.4479,26.0979,ROU,2024.0,5.72140574354439,,,,,,,,,,
Russian Federation,,Europe & Central Asia,High income,Moscow,55.7558,37.6176,RUS,2024.0,8.43486410496723,,,,,,,,,,
Rwanda,,Sub-Saharan Africa ,Low income,Kigali,-1.95325,30.0587,RWA,2024.0,1.77029240198635,,,,,,,,,,
Saudi Arabia,,"Middle East, North Africa, Afghanistan & Pakistan",High income,Riyadh,24.6748,46.6977,SAU,2024.0,1.68792112375809,68.2,28.4,64.2,66.1,89.4,,,,750.0,
Sudan,,Sub-Saharan Africa ,Low income,Khartoum,15.5932,32.5363,SDN,2022.0,138.80846024176,,,,,,,,,,
Senegal,,Sub-Saharan Africa ,Lower middle income,Dakar,14.7247,-17.4734,SEN,2024.0,0.804503298792438,,,,,,,,,,
Singapore,,East Asia & Pacific,High income,Singapore,1.28941,103.85,SGP,2024.0,2.38951123595017,80.9,55.3,70.1,72.8,95.2,3.05,,,3167.0,180.0
Solomon Islands,,East Asia & Pacific,Lower middle income,Honiara,-9.42676,159.949,SLB,2024.0,4.32183948388033,,,,,,,,,,
Sierra Leone,,Sub-Saharan Africa ,Low income,Freetown,8.4821,-13.2134,SLE,2024.0,28.6337500014115,,,,,,,,,,
El Salvador,,Latin America & Caribbean ,Upper middle income,San Salvador,13.7034,-89.2073,SLV,2024.0,0.853782292567288,,,,,,,,,,
San Marino,,Europe & Central Asia,High income,San Marino,43.9322,12.4486,SMR,2024.0,1.24216507945569,,,,,,,,,,
"Somalia, Fed. Rep.",,Sub-Saharan Africa ,Low income,Mogadishu,2.07515,45.3254,,,,,,,,,,,,,
Serbia,,Europe & Central Asia,Upper middle income,Belgrade,44.8024,20.4656,SRB,2024.0,4.6705297488997,,,,,,,,,,
South Sudan,,Sub-Saharan Africa ,Low income,Juba,4.85,31.6,SSD,2024.0,91.4408220769046,,,,,,,,,,
Sao Tome and Principe,,Sub-Saharan Africa ,Lower middle income,Sao Tome,0.20618,6.6071,STP,2024.0,14.3519273571008,,,,,,,,,,
Suriname,,Latin America & Caribbean ,Upper middle income,Paramaribo,5.8232,-55.1679,SUR,2024.0,16.2296159130279,,,,,,,,,,
Slovak Republic,,Europe & Central Asia,High income,Bratislava,48.1484,17.1073,SVK,2024.0,2.75760909424279,,,,,,,,,,
Slovenia,,Europe & Central Asia,High income,Ljubljana,46.0546,14.5044,SVN,2024.0,1.96562656432505,,,,,,,,,,
Sweden,,Europe & Central Asia,High income,Stockholm,59.3327,18.0645,SWE,2024.0,2.83581658224034,,,,,,,5.28,122.4,,
Eswatini,,Sub-Saharan Africa ,Lower middle income,Mbabane,-26.5225,31.4659,,,,,,,,,,,,,
Sint Maarten (Dutch part),,Latin America & Caribbean ,High income,Philipsburg,,,,,,,,,,,,,,,
Seychelles,,Sub-Saharan Africa ,High income,Victoria,-4.6309,55.4466,SYC,2024.0,0.311726050919668,,,,,,,,,,
Syrian Arab Republic,,"Middle East, North Africa, Afghanistan & Pakistan",Low income,Damascus,33.5146,36.3119,,,,,,,,,,,,,
Turks and Caicos Islands,,Latin America & Caribbean ,High income,Grand Turk,21.4602778,-71.141389,,,,,,,,,,,,,
Chad,,Sub-Saharan Africa ,Low income,N'Djamena,12.1048,15.0445,TCD,2024.0,8.89950732263754,,,,,,0.36,,,,
Togo,,Sub-Saharan Africa ,Lower middle income,Lome,6.1228,1.2255,TGO,2024.0,2.86262074089801,,,,,,,,,,
